rank,time_range,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
1,long_term,6xZYGIixR3zhhOHwu7UEMY,mewtwo,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),128000,68,True,2025-07-16T03:06:23.080690
2,long_term,76yJsfb1CUy5Um8nFL7jKQ,OPM BABI,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,173076,70,True,2025-07-16T03:06:23.080733
3,long_term,6XfdWZJTAv750YyMGSjO3y,Swag Overload,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,4Pangd3z0ZrONFpx3zMrFK,XTENDED,152368,62,True,2025-07-16T03:06:23.080743
4,long_term,5wotbFovMedDXEMKC4DrHf,Nightcore,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,0HS8aknH0JQdMIiBVhyOCW,A Great Chaos,187048,58,True,2025-07-16T03:06:23.080751
5,long_term,6kXrehR4g6Mkr1qwEDgrLh,Inferno,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,3tIS7SDlvbyJ0oFQzNqjco,More Chaos,156412,56,True,2025-07-16T03:06:23.080759
6,long_term,2pcv4nUQqaZnJk1kYvCfXV,Succubus,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,0HS8aknH0JQdMIiBVhyOCW,A Great Chaos,149892,70,True,2025-07-16T03:06:23.080767
7,long_term,2dR3ydAu2XGjM8KhFuZiWd,GET IN,"1O8X4zxUh4AdAPFttOTlLr,5LMK9FXaAjzjtbiWnoVIXE","Thouxanbanfauni,Maxx Kenif",1YNlFd8VyCI01qyJFhcGH2,GET IN,137247,40,True,2025-07-16T03:06:23.080785
8,long_term,4c1LjGTCF8kMEikirzFgkm,toxic,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),165353,61,True,2025-07-16T03:06:23.080794
9,long_term,2c7sRekhMGlj7u1WIIzoQu,Fighting My Demons,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,0HS8aknH0JQdMIiBVhyOCW,A Great Chaos,150401,77,True,2025-07-16T03:06:23.080812
10,long_term,459TcVn4q9fN9NJe29RmjL,Free Young Thug,"3iwgpA6jf4fXM5ZuH7qglb,2JJuMFyGSGUltwqf32E8YT","jahhde,Ifys",6vlzHLRHhhQWKhIsxsbH5P,Lost Files 4,149616,34,True,2025-07-16T03:06:23.080835
11,long_term,5116BQqgzOZ24Dx0ZKkagU,delusional,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,2LHNo0LDY2AszQvSuAMXWy,delusional,131274,65,True,2025-07-16T03:06:23.080879
12,long_term,4zK082ykqJzJGzC64NXjp1,LIKE WEEZY,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,115600,75,True,2025-07-16T03:06:23.080896
13,long_term,240K86W7ysqLlNG9NS7cvQ,Lookbook,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,4Pangd3z0ZrONFpx3zMrFK,XTENDED,150318,58,True,2025-07-16T03:06:23.080905
14,long_term,4uoADk7q83CHvXHW3k1etM,OLYMPIAN,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,174733,74,True,2025-07-16T03:06:23.080911
15,long_term,1NaDK3atogQEn9glK5fYuy,Cologne,35l9BRT7MXmM8bv2WDQiyB,beabadoobee,6EBrUVVsjIQD8N0c63mqjv,Our Extended Play,164690,71,True,2025-07-16T03:06:23.080916
16,long_term,1BpKJw4RZxaFB88NE5uxXf,ILoveUIHateU,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,2QRedhP5RmKJiJ1i8VgDGR,Whole Lotta Red,135122,77,True,2025-07-16T03:06:23.080923
17,long_term,754kgU5rWscRTfvlsuEwFp,Kiss Me,0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,0PrcwzkQVEy4y6JPvT5bix,Sixpence None The Richer,208680,87,False,2025-07-16T03:06:23.080930
18,long_term,6ovJ4vtrLdONeRoTT4s4uw,more chaos,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,58iEeJbYd6OBGRM0TiwltL,A Great Chaos (Deluxe),141072,58,True,2025-07-16T03:06:23.080937
19,long_term,3yk7PJnryiJ8mAPqsrujzf,Location,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,4rJgzzfFHAVFhCSt2P4I3j,Playboi Carti,168783,80,True,2025-07-16T03:06:23.080951
