rank,time_range,track_id,track_name,artist_ids,artist_names,album_id,album_name,duration_ms,popularity,explicit,extracted_at
1,medium_term,76yJsfb1CUy5Um8nFL7jKQ,OPM BABI,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,173076,70,True,2025-07-13T01:19:43.572129
2,medium_term,5TsoJj7bFoBbtfYfHpwThH,Inferno,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,156412,59,True,2025-07-13T01:19:43.572171
3,medium_term,4uoADk7q83CHvXHW3k1etM,OLYMPIAN,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,174733,74,True,2025-07-13T01:19:43.572181
4,medium_term,4zK082ykqJzJGzC64NXjp1,LIKE WEEZY,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,115600,75,True,2025-07-13T01:19:43.572186
5,medium_term,754kgU5rWscRTfvlsuEwFp,Kiss Me,0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,0PrcwzkQVEy4y6JPvT5bix,Sixpence None The Richer,208680,87,False,2025-07-13T01:19:43.572191
6,medium_term,3j3SfV4hAcR4XjCvW393Gr,POP OUT,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,161738,71,True,2025-07-13T01:19:43.572197
7,medium_term,0A5QC5r1AMUccnd34pOlzs,sol,5A7T1LAGJg5NXySBoIKUmF,Che,2V8w3aCddJJbujHgn95Hx7,closed captions,135255,57,True,2025-07-13T01:19:43.572202
8,medium_term,7aURTqVzpZxkJfboCvGc69,LiveLeak,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,190541,66,True,2025-07-13T01:19:43.572208
9,medium_term,0EMaW6H0JkB84B8ebkkDrI,Money Spread,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,105191,63,True,2025-07-13T01:19:43.572220
10,medium_term,5c53wRvjzKaFBPd8cW06EX,Luv - Bonus,0uj6QiPsPfK8ywLC7uwBE1,OsamaSon,02Mi6lld23cYcBeXbUbo0s,Jump Out (Bonus Tracks),115994,50,True,2025-07-13T01:19:43.572226
11,medium_term,5tRylsadMpm8TydUgq7NWj,OVERLY,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0fSfkmx0tdPqFYkJuNX74a,MUSIC,105902,67,True,2025-07-13T01:19:43.572231
12,medium_term,5xNV2RwrVjEo4zEjum9aLh,plaqueboymax im coolin,6hqaTEhJYyCNZmJbONtCst,plaqboi,2J3U3QskqiHtBkLnEa7AtL,plaqueboymax im coolin,87632,23,True,2025-07-13T01:19:43.572237
13,medium_term,3qOJebD6l8ONfeFFaEg1kU,Psycho,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,1TiWFnZwyZ152viq7v9C31,More Chaos,138101,62,True,2025-07-13T01:19:43.572242
14,medium_term,1DMTyFMrrY1TZ3SwBmfkku,Break Da News,0uj6QiPsPfK8ywLC7uwBE1,OsamaSon,5Vb4K4Xf4KPFupmhHi5COM,Jump Out,99096,50,True,2025-07-13T01:19:43.572246
